object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
bodleian-library-ms,Bodleian Library MS. Arch. Selden. A. 2,Bodleian Library MS. Arch. Selden. A. 2,,,"<a href=""https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8835"">Full catalogue record in Catalogue of Western Medieval Manuscripts in Oxford Libraries</a>",https://iiif.bodleian.ox.ac.uk/iiif/manifest/5fb5517b-0539-4531-b996-44fa52ede044.json,,,,,"Bodleian Libraries, University of Oxford","Bodleian Libraries, University of Oxford","https://iiif.bodleian.ox.ac.uk/iiif/image/3884d909-809d-4711-bd94-0456a61869f0/full/256,/0/default.jpg",
bodleian-library-ms-2,Bodleian Library MS. Arch. Selden. A. 1,Bodleian Library MS. Arch. Selden. A. 1,,"Smith, Thomas, 1513-1577","<a href=""https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8834"">Full catalogue record in Catalogue of Western Medieval Manuscripts in Oxford Libraries</a>",https://iiif.bodleian.ox.ac.uk/iiif/manifest/2fea788e-2aa2-4f08-b6d9-648c00486220.json,,,,,"Bodleian Libraries, University of Oxford","Bodleian Libraries, University of Oxford","https://iiif.bodleian.ox.ac.uk/iiif/image/68210492-1fd1-499e-acee-188fa1226ca1/full/256,/0/default.jpg",
haptic-khipu,Haptic khipu,Haptic khipu,,,,https://juancobo.com/138la/iiif/khipu/manifest.json,,,,,"Art, Design & Architecture Museum, UC Santa Barbara","Material/Image Research Lab, UC Santa Barbara","https://khipu.mirl.arthistory.ucsb.edu/iiif/objects/image3/full/96,64/0/default.jpg",
bodleian-library-ms-3,Bodleian Library MS. Arch. Selden. A. 1,Bodleian Library MS. Arch. Selden. A. 1,,"Smith, Thomas, 1513-1577","<a href=""https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8834"">Full catalogue record in Catalogue of Western Medieval Manuscripts in Oxford Libraries</a>",https://iiif.bodleian.ox.ac.uk/iiif/manifest/2fea788e-2aa2-4f08-b6d9-648c00486220.json,,,,,"Bodleian Libraries, University of Oxford","Bodleian Libraries, University of Oxford","https://iiif.bodleian.ox.ac.uk/iiif/image/68210492-1fd1-499e-acee-188fa1226ca1/full/256,/0/default.jpg",
codex-selden-anute,Codex Selden / Añute — p. 007,Codex Selden / Añute — p. 007,,,,https://juancobo.com/138la/iiif/selden/p8/manifest.json,,,,,"Bodleian Libraries, University of Oxford","Photo: © Bodleian Libraries, University of Oxford. Terms of use: CC BY-NC 4.0. See https://digital.bodleian.ox.ac.uk/terms/","https://iiif.bodleian.ox.ac.uk/iiif/image/05ba5c48-d180-4c64-acbf-c435626c7a69/full/400,/0/default.jpg",
codex-mendoza-fol,Codex Mendoza — fol. 2r,Codex Mendoza — fol. 2r,,,,https://juancobo.com/138la/iiif/mendoza/p14/manifest.json,,,,,"Bodleian Libraries, University of Oxford","Photo: © Bodleian Libraries, University of Oxford. Terms of use: CC BY-NC 4.0. See https://digital.bodleian.ox.ac.uk/terms/","https://iiif.bodleian.ox.ac.uk/iiif/image/f4543073-51d3-4fbc-994e-a7080afebc8a/full/400,/0/default.jpg",
